CO_IES;NO_CINE_ROTULO;QT_ING;QT_ING_FEM;QT_ING_MASC;QT_ING_0_17;QT_ING_18_24;QT_ING_25_29;QT_ING_35_39;QT_ING_40_49;QT_ING_50_59;QT_ING_60_MAIS;QT_ING_BRANCA;QT_ING_PRETA;QT_ING_PARDA;QT_ING_AMARELA;QT_ING_INDIGENA;QT_ING_NACESTRANG;QT_CONC;QT_CONC_FEM;QT_CONC_MASC;QT_CONC_0_17;QT_CONC_18_24;QT_CONC_25_29;QT_CONC_35_39;QT_CONC_40_49;QT_CONC_50_59;QT_CONC_60_MAIS;QT_CONC_BRANCA;QT_CONC_PRETA;QT_CONC_PARDA;QT_CONC_AMARELA;QT_CONC_INDIGENA;QT_CONC_NACESTRANG;ANO
55;Matemática aplicada e computacional;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2013
55;Matemática aplicada e computacional;2;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;2013
55;Matemática aplicada e computacional;8;3;5;0;3;3;0;0;0;0;2;0;0;1;0;0;6;1;5;0;1;4;0;0;0;0;3;0;0;0;0;0;2013
55;Matemática aplicada e computacional;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;3;0;3;0;0;1;0;0;0;0;1;0;0;0;0;0;2013
55;Matemática aplicada e computacional;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2013
55;Meteorologia;34;14;20;0;24;9;0;0;0;0;3;0;1;0;0;0;14;3;11;0;5;7;1;0;0;0;8;0;1;1;0;0;2013
55;Oceanografia;41;25;16;0;39;2;0;0;0;0;0;0;0;0;0;0;29;12;17;0;10;19;0;0;0;0;17;0;1;0;0;0;2013
55;Química formação de professor;3;1;2;0;0;1;0;0;0;0;0;1;0;0;0;0;7;3;4;0;4;3;0;0;0;0;4;1;0;1;0;0;2013
55;Química formação de professor;30;8;22;0;18;5;2;0;1;0;5;0;1;0;0;0;9;6;3;0;0;7;1;0;0;0;7;0;0;0;0;0;2013
55;Química;17;8;9;0;16;1;0;0;0;0;1;1;0;0;0;0;32;15;17;0;24;8;0;0;0;0;22;0;1;5;0;0;2013
55;Química;37;21;16;0;27;5;3;0;0;0;6;0;3;0;0;0;14;7;7;0;6;6;1;0;0;0;10;1;0;0;0;0;2013
55;Química industrial e tecnológica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;1;0;3;1;0;0;0;0;3;0;0;0;0;0;2013
55;Química industrial e tecnológica;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;15;5;10;0;12;3;0;0;0;0;9;0;1;2;0;0;2013
55;Química;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;2013
55;Sistemas de informação;164;20;144;1;149;10;1;0;0;0;4;2;2;1;1;1;128;30;98;0;89;29;2;1;1;0;82;1;13;13;0;2;2013
55;Ciências naturais formação de professor;21;9;12;0;0;5;3;7;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2013
55;Ciências naturais formação de professor;20;8;12;0;1;2;6;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2013
55;Ciências naturais formação de professor;15;9;6;0;1;7;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2013
55;Ciências naturais formação de professor;87;49;38;0;6;16;11;25;11;2;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2013
55;Ciências naturais formação de professor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2013
55;Engenharia ambiental;41;22;19;0;41;0;0;0;0;0;33;0;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2014
55;Engenharia bioquímica;41;23;18;1;39;1;0;0;0;0;32;3;1;5;0;0;22;16;6;0;14;8;0;0;0;0;14;0;1;3;0;0;2014
55;Engenharia de materiais;41;15;26;0;40;1;0;0;0;0;34;0;2;5;0;0;31;9;22;0;15;15;0;0;0;0;17;0;6;2;0;0;2014
55;Engenharia de produção;39;15;24;0;39;0;0;0;0;0;30;1;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2014
55;Engenharia física;39;7;32;2;35;2;0;0;0;0;33;2;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2014
55;Engenharia química;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;25;40;0;19;39;1;1;0;0;36;4;12;3;0;0;2014
55;Engenharia química;159;70;89;3;152;1;1;0;0;0;131;3;8;16;0;0;83;33;50;0;39;43;0;0;0;0;58;1;9;5;0;0;2014
55;Ciências agrárias formação de professor;33;21;12;1;30;1;0;0;0;0;26;0;3;4;0;0;14;4;10;0;7;7;0;0;0;0;12;0;0;1;0;0;2014
55;Engenharia florestal;38;25;13;1;35;0;0;0;0;0;29;0;3;5;0;0;30;12;18;0;16;13;0;0;0;0;22;0;1;2;0;0;2014
55;Engenharia de alimentos;105;73;32;0;102;3;0;0;0;0;85;2;10;7;0;0;87;67;20;0;35;50;0;0;0;0;55;2;5;7;0;1;2014
55;Engenharia de biossistemas;62;28;34;0;57;4;0;0;0;0;45;3;2;12;0;1;11;2;9;0;8;2;0;0;0;0;9;0;1;0;1;0;2014
55;ABI Ciências naturais, matemática e estatística;60;42;18;2;56;1;0;0;0;0;51;2;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2014
55;ABI Ciências naturais, matemática e estatística;25;13;12;0;24;0;1;0;0;0;22;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2014
55;ABI Ciências naturais, matemática e estatística;62;35;27;0;58;1;1;1;0;0;45;3;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2014
55;Educação física;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;7;23;0;24;5;0;0;0;0;25;0;4;0;0;0;2014
55;Educação física;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;7;4;0;5;5;0;0;0;0;8;0;1;0;0;0;2014
55;Física médica;44;14;30;0;36;2;1;2;0;1;33;0;3;6;0;0;21;10;11;0;12;7;0;1;0;0;16;0;4;0;0;0;2014
55;Matemática aplicada e computacional;44;17;27;0;41;2;0;0;1;0;36;0;0;4;0;0;35;21;14;0;21;13;0;0;0;0;24;3;6;2;0;1;2014
55;Química formação de professor;42;26;16;0;32;8;0;1;0;0;25;2;0;13;0;0;20;13;7;0;5;12;1;0;0;0;11;0;2;0;0;0;2014
55;Química;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;6;13;0;13;6;0;0;0;0;16;1;2;0;0;0;2014
55;Química;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;8;8;0;13;3;0;0;0;0;14;0;2;0;0;0;2014
55;Química industrial e tecnológica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;8;4;0;8;4;0;0;0;0;11;0;1;0;0;0;2014
55;ABI Ciências naturais, matemática e estatística;51;17;34;0;39;7;2;0;0;0;31;3;4;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2014
55;ABI Engenharia, produção e construção;51;6;45;2;49;0;0;0;0;0;39;0;4;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2014
55;ABI Ciências naturais, matemática e estatística;50;11;39;0;47;2;1;0;0;0;37;0;3;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2014
55;ABI Ciências naturais, matemática e estatística;33;9;24;0;28;1;0;0;0;0;22;1;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2014
55;ABI Ciências naturais, matemática e estatística;55;25;30;0;54;1;0;0;0;0;47;3;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2014
